,sample,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,press_0,press_1,press_2,press_3,press_4,press_5,cop_x_r,cop_y_r,cop_x_l,cop_y_l,cop_x_all,cop_y_all
2627,26280,325,923,955,342,972,807,31.2969,2.89816,1.90471,29.0169,1.40355,7.15985,0.313544,-5.51869,0.251024,-4.32786,0.246418,-0.653984
2628,26290,326,923,955,341,973,808,31.1562,2.89816,1.90471,29.1447,1.37461,7.11788,0.3136,-5.51216,0.247504,-4.35863,0.222603,-0.665522
2629,26300,325,923,955,341,973,807,31.2969,2.89816,1.90471,29.1447,1.37461,7.15985,0.313544,-5.51869,0.251128,-4.34827,0.235629,-0.663054
2630,26310,325,922,955,341,972,807,31.2969,2.93031,1.90471,29.1447,1.40355,7.15985,0.31541,-5.50759,0.248853,-4.33878,0.23587,-0.65425
2631,26320,325,923,955,341,973,806,31.2969,2.89816,1.90471,29.1447,1.37461,7.20192,0.313544,-5.51869,0.254761,-4.33789,0.232474,-0.656122
2632,26330,325,923,956,341,973,806,31.2969,2.89816,1.87474,29.1447,1.37461,7.20192,0.315998,-5.5257,0.254997,-4.3419,0.230497,-0.66106
2633,26340,325,923,956,341,973,807,31.2969,2.89816,1.87474,29.1447,1.37461,7.15985,0.315998,-5.5257,0.25136,-4.35229,0.233652,-0.667998
2634,26350,325,923,957,340,973,807,31.2969,2.89816,1.84483,29.2733,1.37461,7.15985,0.318447,-5.5327,0.24941,-4.36717,0.216823,-0.677857
2635,26360,325,923,957,341,973,807,31.2969,2.89816,1.84483,29.1447,1.37461,7.15985,0.318447,-5.5327,0.251592,-4.35632,0.231678,-0.672935
2636,26370,325,923,956,341,972,807,31.2969,2.89816,1.87474,29.1447,1.40355,7.15985,0.315998,-5.5257,0.249083,-4.34279,0.229639,-0.663853
2637,26380,325,923,956,341,972,807,31.2969,2.89816,1.87474,29.1447,1.40355,7.15985,0.315998,-5.5257,0.249083,-4.34279,0.229639,-0.663853
2638,26390,325,923,956,340,970,807,31.2969,2.89816,1.87474,29.2733,1.4616,7.15985,0.315998,-5.5257,0.24238,-4.33471,0.206782,-0.660493
2639,26400,325,923,957,341,971,808,31.2969,2.89816,1.84483,29.1447,1.43254,7.11788,0.318447,-5.5327,0.243409,-4.34763,0.226788,-0.671557
2640,26410,326,923,956,340,971,807,31.1562,2.89816,1.87474,29.2733,1.43254,7.15985,0.316064,-5.5192,0.244648,-4.3442,0.194607,-0.66019
2641,26420,325,923,956,342,970,807,31.2969,2.89816,1.87474,29.0169,1.4616,7.15985,0.315998,-5.5257,0.246679,-4.3128,0.236375,-0.650615
2642,26430,326,923,957,340,972,807,31.1562,2.89816,1.84483,29.2733,1.40355,7.15985,0.318523,-5.52622,0.247141,-4.35768,0.196626,-0.669275
2643,26440,326,924,956,341,974,807,31.1562,2.86607,1.87474,29.1447,1.34574,7.15985,0.314193,-5.53034,0.253636,-4.3618,0.217212,-0.672362
2644,26450,327,923,955,341,970,807,31.0164,2.89816,1.90471,29.1447,1.4616,7.15985,0.313656,-5.50561,0.244302,-4.31978,0.191259,-0.641658
2645,26460,328,922,955,341,971,807,30.8774,2.93031,1.90471,29.1447,1.43254,7.15985,0.315601,-5.48782,0.246578,-4.32928,0.183484,-0.636685
2646,26470,328,923,956,342,972,808,30.8774,2.89816,1.87474,29.0169,1.40355,7.11788,0.316197,-5.50615,0.247618,-4.34227,0.199153,-0.652483
2647,26480,328,922,956,342,969,807,30.8774,2.93031,1.87474,29.0169,1.49071,7.15985,0.318084,-5.49492,0.244389,-4.30326,0.188183,-0.628299
2648,26490,328,923,956,342,976,806,30.8774,2.89816,1.87474,29.0169,1.28817,7.20192,0.316197,-5.50615,0.264065,-4.35954,0.208921,-0.655166
2649,26500,328,922,957,342,979,807,30.8774,2.93031,1.84483,29.0169,1.20225,7.15985,0.320561,-5.502,0.267508,-4.40266,0.226413,-0.674851
2650,26510,328,922,956,342,976,807,30.8774,2.93031,1.87474,29.0169,1.28817,7.15985,0.318084,-5.49492,0.260404,-4.37,0.216394,-0.657452
2651,26520,328,922,954,342,978,807,30.8774,2.93031,1.93475,29.0169,1.23083,7.15985,0.313113,-5.48072,0.26448,-4.38086,0.228409,-0.655753
2652,26530,328,923,954,343,974,808,30.8774,2.89816,1.93475,28.8898,1.34574,7.11788,0.311222,-5.49193,0.253897,-4.3424,0.226031,-0.645899
2653,26540,329,922,957,343,975,806,30.7392,2.93031,1.84483,28.8898,1.31692,7.20192,0.320645,-5.49544,0.264247,-4.34318,0.20595,-0.641869
2654,26550,328,922,955,342,978,807,30.8774,2.93031,1.90471,29.0169,1.23083,7.15985,0.315601,-5.48782,0.264727,-4.38495,0.226407,-0.660747
2655,26560,328,921,955,343,975,807,30.8774,2.96254,1.90471,28.8898,1.31692,7.15985,0.317491,-5.4766,0.260086,-4.34556,0.233494,-0.638654
2656,26570,328,922,954,342,976,808,30.8774,2.93031,1.93475,29.0169,1.28817,7.11788,0.313113,-5.48072,0.256275,-4.37228,0.223564,-0.654454
2657,26580,328,923,954,343,976,807,30.8774,2.89816,1.93475,28.8898,1.28817,7.15985,0.311222,-5.49193,0.262135,-4.35103,0.230915,-0.647232
2658,26590,328,922,955,343,978,807,30.8774,2.93031,1.90471,28.8898,1.23083,7.15985,0.315601,-5.48782,0.266968,-4.37418,0.241252,-0.655803
2659,26600,329,922,954,343,975,805,30.7392,2.93031,1.93475,28.8898,1.31692,7.2441,0.313167,-5.47407,0.267182,-4.32053,0.208795,-0.619915
2660,26610,329,922,953,342,975,807,30.7392,2.93031,1.96485,29.0169,1.31692,7.15985,0.310664,-5.46692,0.257398,-4.3483,0.202368,-0.633894
2661,26620,329,922,954,342,974,806,30.7392,2.93031,1.93475,29.0169,1.34574,7.20192,0.313167,-5.47407,0.259004,-4.33243,0.193172,-0.62776
2662,26630,329,922,954,343,973,807,30.7392,2.93031,1.93475,28.8898,1.37461,7.15985,0.313167,-5.47407,0.255257,-4.32243,0.207085,-0.625586
2663,26640,329,922,954,342,972,808,30.7392,2.93031,1.93475,29.0169,1.40355,7.11788,0.313167,-5.47407,0.247159,-4.33422,0.191427,-0.633374
2664,26650,329,922,954,343,973,806,30.7392,2.93031,1.93475,28.8898,1.37461,7.20192,0.313167,-5.47407,0.258915,-4.31198,0.203915,-0.618604
2665,26660,329,922,954,342,974,807,30.7392,2.93031,1.93475,29.0169,1.34574,7.15985,0.313167,-5.47407,0.255356,-4.34286,0.196332,-0.634737
2666,26670,329,922,954,343,974,807,30.7392,2.93031,1.93475,28.8898,1.34574,7.15985,0.313167,-5.47407,0.25755,-4.33196,0.211123,-0.629749
2667,26680,329,922,954,343,973,807,30.7392,2.93031,1.93475,28.8898,1.37461,7.15985,0.313167,-5.47407,0.255257,-4.32243,0.207085,-0.625586
2668,26690,328,922,954,344,973,807,30.8774,2.93031,1.93475,28.7634,1.37461,7.15985,0.313113,-5.48072,0.257444,-4.31149,0.237864,-0.625105
2669,26700,328,922,954,343,972,806,30.8774,2.93031,1.93475,28.8898,1.40355,7.20192,0.313113,-5.48072,0.256618,-4.30245,0.215909,-0.618941
2670,26710,328,922,954,343,972,806,30.8774,2.93031,1.93475,28.8898,1.40355,7.20192,0.313113,-5.48072,0.256618,-4.30245,0.215909,-0.618941
2671,26720,328,922,954,343,975,807,30.8774,2.93031,1.93475,28.8898,1.31692,7.15985,0.313113,-5.48072,0.259843,-4.3415,0.231188,-0.638379
2672,26730,328,922,954,345,975,807,30.8774,2.93031,1.93475,28.6378,1.31692,7.15985,0.313113,-5.48072,0.264266,-4.3197,0.260691,-0.628483
2673,26740,328,922,954,343,975,806,30.8774,2.93031,1.93475,28.8898,1.31692,7.20192,0.313113,-5.48072,0.263508,-4.33102,0.228007,-0.631397
2674,26750,328,922,954,343,974,807,30.8774,2.93031,1.93475,28.8898,1.34574,7.15985,0.313113,-5.48072,0.25755,-4.33196,0.227157,-0.634226
2675,26760,328,921,954,343,976,806,30.8774,2.96254,1.93475,28.8898,1.28817,7.20192,0.315006,-5.4695,0.265804,-4.34054,0.236332,-0.630832
